t,phi
7.780000000000001e-08,-0.06342624
7.79e-08,0.01267172
7.8e-08,0.05998064
7.81e-08,-0.006498229
7.82e-08,-0.1197882
7.83e-08,0.1067064
7.84e-08,-0.0511732
7.850000000000001e-08,0.01461204
7.86e-08,0.169871
7.87e-08,0.1004849
7.88e-08,-0.07067358
7.89e-08,0.05194888
7.9e-08,0.01647341
7.91e-08,0.01931138
7.920000000000001e-08,0.1646793
7.93e-08,0.1229557
7.94e-08,0.1388773
7.95e-08,0.03924054
7.96e-08,0.1681338
7.97e-08,0.0717251
7.98e-08,-0.1461067
7.990000000000001e-08,0.07841364
8e-08,0.05517799
8.010000000000001e-08,-0.09465276
8.02e-08,0.1143818
8.03e-08,0.09274318
8.04e-08,0.1969858
8.05e-08,0.0144844
8.060000000000001e-08,0.0113597
8.07e-08,0.02857963
8.080000000000001e-08,-0.1037689
8.09e-08,0.0648722
8.1e-08,-0.1346748
8.11e-08,0.05240844
8.12e-08,0.05069186
8.130000000000001e-08,0.05917188
8.14e-08,0.1007308
8.150000000000001e-08,0.07736792
8.16e-08,0.117821
8.17e-08,0.02222582
8.18e-08,-0.09378711
8.19e-08,0.008007528
8.2e-08,0.1286527
8.21e-08,0.00484036
8.220000000000001e-08,0.000323337
8.23e-08,-0.1482314
8.24e-08,0.000429552
8.25e-08,0.05192441
8.26e-08,-0.1375201
8.27e-08,0.1370807
8.28e-08,0.01484405
8.290000000000001e-08,0.1614845
8.3e-08,-0.04349899
8.310000000000001e-08,-0.02238411
8.32e-08,0.1204284
8.33e-08,-0.04194538
8.34e-08,0.2237917
8.35e-08,-0.01165483
8.360000000000001e-08,0.05196495
8.37e-08,-0.02902802
8.380000000000001e-08,-0.03972698
8.39e-08,0.2089332
8.4e-08,0.1653482
8.41e-08,0.2094994
8.42e-08,-0.03662605
8.430000000000001e-08,-0.03436831
8.44e-08,0.05569356
8.450000000000001e-08,0.10913
8.46e-08,0.1495794
8.47e-08,0.1710817
8.48e-08,0.1592209
8.49e-08,0.1597443
8.500000000000001e-08,0.2031611
8.51e-08,-0.05372464
8.520000000000001e-08,0.1097633
8.53e-08,-0.0431822
8.54e-08,0.01176619
8.55e-08,0.06579342
